ID,subsystem
R_BIO_L,Exchange/demand reaction
R_BIO_L_2,Exchange/demand reaction
R_BIO_L_3,Exchange/demand reaction
R_R0_gl,"Transport, golgi apparatus"
R_R1_pr,"Transport, peroxisomal"
R_R2_lg,"Transport, lysosomal"
R_R3_gl,"Transport, golgi apparatus"
R_PAPtec,"Transport, extracellular"
R_FORtec,"Transport, extracellular"
R_CU2tgc,"Transport, golgi apparatus"
R_C00071trc,"Transport, endoplasmic reticular"
R_C00071tmc,"Transport, mitochondrial"
R_C00071tpc,"Transport, peroxisomal"
R_CA2trc,"Transport, endoplasmic reticular"
R_CA2tec,"Transport, extracellular"
R_UREAtrc,"Transport, endoplasmic reticular"
R_ALA_Btrc,"Transport, endoplasmic reticular"
R_ALA_Btec,"Transport, extracellular"
R_ALA_Btpc,"Transport, peroxisomal"
R_PPCOAtpc,"Transport, peroxisomal"
R_THFtec,"Transport, extracellular"
R_UMPtlc,"Transport, lysosomal"
R_DHAPtmc,"Transport, mitochondrial"
R_R5Ptmc,"Transport, mitochondrial"
R_GTHOXtmc,"Transport, mitochondrial"
R_IMPtrc,"Transport, endoplasmic reticular"
R_IMPtlc,"Transport, lysosomal"
R_ACGAMtec,"Transport, extracellular"
R_GMPtrc,"Transport, endoplasmic reticular"
R_GMPtlc,"Transport, lysosomal"
R_GMPtmc,"Transport, mitochondrial"
R_UDPGLCURtg,"Transport, golgi apparatus"
R_UDPGLCURtr,"Transport, endoplasmic reticular"
R_XU5P__Dtnc,"Transport, nuclear"
R_DCMPtnc,"Transport, nuclear"
R_RIBFLVtec,"Transport, extracellular"
R_LAC__Dtm,"Transport, mitochondrial"
R_glc__Dtlc,"Transport, lysosomal"
R_TRDOXtnc,"Transport, nuclear"
R_FDPtec,"Transport, extracellular"
R_DGDPtnc,"Transport, nuclear"
R_DGMPtmc,"Transport, mitochondrial"
R_DTMPtmc,"Transport, mitochondrial"
R_DUMPtmc,"Transport, mitochondrial"
R_DHFtmc,"Transport, mitochondrial"
R_NMNtpc,"Transport, peroxisomal"
R_MTHGXLtec,"Transport, extracellular"
R_CAMPtec,"Transport, extracellular"
R_CHOLPtgc,"Transport, golgi apparatus"
R_CHOLPtec,"Transport, extracellular"
R_CHOLPtlc,"Transport, lysosomal"
R_CHOLPtmc,"Transport, mitochondrial"
R_PACALDtec,"Transport, extracellular"
R_ID3ACALDtec,"Transport, extracellular"
R_5HTRPtec,"Transport, extracellular"
R_XMPtmc,"Transport, mitochondrial"
R_XTPtmc,"Transport, mitochondrial"
R_DCDPtnc,"Transport, nuclear"
R_OCDCEAtnc,"Transport, nuclear"
R_ADRNLtec,"Transport, extracellular"
R_35CGMPtec,"Transport, extracellular"
R_PPPG9tim,"Transport, mitochondrial"
R_THMMPtn,"Transport, nuclear"
R_THMMPtnc,"Transport, nuclear"
R_PAN4Ptec,"Transport, extracellular"
R_4HPRO_LTtm,"Transport, mitochondrial"
R_4HPRO_LTtrc,"Transport, endoplasmic reticular"
R_4TMEABUTNtrc,"Transport, endoplasmic reticular"
R_4TMEABUTNtmc,"Transport, mitochondrial"
R_4TMEABUTNtpc,"Transport, peroxisomal"
R_DUDPtnc,"Transport, nuclear"
R_XTSNtec,"Transport, extracellular"
R_MMtrc,"Transport, endoplasmic reticular"
R_MMtmc,"Transport, mitochondrial"
R_MMtpc,"Transport, peroxisomal"
R_C02320trc,"Transport, endoplasmic reticular"
R_C02320tpc,"Transport, peroxisomal"
R_FRU_Btec,"Transport, extracellular"
R_FRU_Btlc,"Transport, lysosomal"
R_METTRNAtm,"Transport, mitochondrial"
R_RNAMtec,"Transport, extracellular"
R_C03170tnc,"Transport, nuclear"
R_C03740tec,"Transport, extracellular"
R_4HOXPACDtec,"Transport, extracellular"
R_34DHPACtec,"Transport, extracellular"
R_IM4ACTtec,"Transport, extracellular"
R_ESTRIOLGLCtec,"Transport, extracellular"
R_5HOXINDOAtrc,"Transport, endoplasmic reticular"
R_5HOXINDOAtmc,"Transport, mitochondrial"
R_5HOXINDOAtpc,"Transport, peroxisomal"
R_APROAtec,"Transport, extracellular"
R_ACTACPtmc,"Transport, mitochondrial"
R_3OHEXACPtmc,"Transport, mitochondrial"
R_3OOCTACPtmc,"Transport, mitochondrial"
R_IASPtl,"Transport, lysosomal"
R_4H2OGLTtp,"Transport, peroxisomal"
R_4H2OGLTtmc,"Transport, mitochondrial"
R_3HIBUTCOAtp,"Transport, peroxisomal"
R_3HIBUTCOAtpc,"Transport, peroxisomal"
R_ARACHtnc,"Transport, nuclear"
R_ASO3trc,"Transport, endoplasmic reticular"
R_C07490tr,"Transport, endoplasmic reticular"
R_ESTRONEGLCtec,"Transport, extracellular"
R_TSTSTERONEGLCtec,"Transport, extracellular"
R_ANDRSTRNGLCtec,"Transport, extracellular"
R_AHANDROSTANGLCtec,"Transport, extracellular"
R_C16356tpc,"Transport, peroxisomal"
R_C16387tp,"Transport, peroxisomal"
R_C16387tpc,"Transport, peroxisomal"
R_PS_Mtm,"Transport, mitochondrial"
R_PS_Mtmc,"Transport, mitochondrial"
R_OCACP_Mtmc,"Transport, mitochondrial"
R_PALMACP_Mtmc,"Transport, mitochondrial"
R_3OOCTDACP_Mtm,"Transport, mitochondrial"
R_3OOCTDACP_Mtmc,"Transport, mitochondrial"
R_C16239_Mtm,"Transport, mitochondrial"
R_C16239_Mtmc,"Transport, mitochondrial"
R_C16374_Mtmc,"Transport, mitochondrial"
R_UDPtn,"Transport, nuclear"
R_PHEMEte,"Transport, extracellular"
R_GDPtn,"Transport, nuclear"
R_GTPte,"Transport, extracellular"
R_PAPSte,"Transport, extracellular"
R_ARG__Lte,"Transport, extracellular"
R_CTPte,"Transport, extracellular"
R_THMPPtn,"Transport, nuclear"
R_UTPte,"Transport, extracellular"
R_ORNte,"Transport, extracellular"
R_ITPte,"Transport, extracellular"
R_MALCOAtp,"Transport, peroxisomal"
R_SUCCOAtmc,"Transport, mitochondrial"
R_GDPMANNtr,"Transport, endoplasmic reticular"
R_CYS__Ltn,"Transport, nuclear"
R_IDPtr,"Transport, endoplasmic reticular"
R_IDPtl,"Transport, lysosomal"
R_CDPtn,"Transport, nuclear"
R_HIS__Ltm,"Transport, mitochondrial"
R_PRO__Ltr,"Transport, endoplasmic reticular"
R_C00151te,"Transport, extracellular"
R_NCAMte,"Transport, extracellular"
R_MALTtl,"Transport, lysosomal"
R_SARCSte,"Transport, extracellular"
R_DMPPtpc,"Transport, peroxisomal"
R_DCMPte,"Transport, extracellular"
R_DCMPtm,"Transport, mitochondrial"
R_NACte,"Transport, extracellular"
R_E4Pte,"Transport, extracellular"
R_TRDRDtn,"Transport, nuclear"
R_TRYPTAte,"Transport, extracellular"
R_5AOPtmc,"Transport, mitochondrial"
R_ACORNtmc,"Transport, mitochondrial"
R_DTTPte,"Transport, extracellular"
R_RETINOLte,"Transport, extracellular"
R_TYMte,"Transport, extracellular"
R_LCYSTINte,"Transport, extracellular"
R_OCDCE9COAtn,"Transport, nuclear"
R_DURItm,"Transport, mitochondrial"
R_CHOLPtn,"Transport, nuclear"
R_3HANTHRNtp,"Transport, peroxisomal"
R_ID3ACALDtr,"Transport, endoplasmic reticular"
R_ID3ACALDtm,"Transport, mitochondrial"
R_ID3ACALDtp,"Transport, peroxisomal"
R_XMPte,"Transport, extracellular"
R_1DDECG3Ptr,"Transport, endoplasmic reticular"
R_DCYTtn,"Transport, nuclear"
R_DPCOAte,"Transport, extracellular"
R_5DPMEVtp,"Transport, peroxisomal"
R_G6P_Btr,"Transport, endoplasmic reticular"
R_ACHtec,"Transport, extracellular"
R_C02090tn,"Transport, nuclear"
R_C02320te,"Transport, extracellular"
R_6MPURtp,"Transport, peroxisomal"
R_CPPPG3tm,"Transport, mitochondrial"
R_CPPPG3ti,"Transport, mitochondrial"
R_2MAACOAtpc,"Transport, peroxisomal"
R_2MB2COAtm,"Transport, mitochondrial"
R_2MB2COAtpc,"Transport, peroxisomal"
R_2MP2COAtm,"Transport, mitochondrial"
R_2MP2COAtpc,"Transport, peroxisomal"
R_5FTHFtm,"Transport, mitochondrial"
R_MI4P__Dtg,"Transport, golgi apparatus"
R_ACACPtm,"Transport, mitochondrial"
R_MI3P__Dtg,"Transport, golgi apparatus"
R_IM4ACTtr,"Transport, endoplasmic reticular"
R_IM4ACTtm,"Transport, mitochondrial"
R_IM4ACTtp,"Transport, peroxisomal"
R_PEAMNte,"Transport, extracellular"
R_SELMETHtm,"Transport, mitochondrial"
R_5HOXINDACTtr,"Transport, endoplasmic reticular"
R_5HOXINDACTtm,"Transport, mitochondrial"
